representation,split_seed,algorithm_A,algorithm_B,MAE_A,MAE_B,delta_MAE_B_minus_A
morgan_r2_2048,4,svr,rf,0.40824590223925039,0.42725127903543891,0.019005376796188522
morgan_r2_2048,5,svr,rf,0.4157755144546354,0.40220638346788662,-0.013569130986748779
morgan_r2_2048,1,svr,et,0.40189501424392271,0.40765051493188992,0.0057555006879672077
morgan_r2_2048,2,svr,et,0.40507126074045779,0.3938766443052879,-0.011194616435169891
morgan_r2_2048,3,svr,et,0.41445533288149661,0.44203683735199162,0.027581504470495011
morgan_r2_2048,4,svr,et,0.40824590223925039,0.41086492084970022,0.0026190186104498303
morgan_r2_2048,5,svr,et,0.4157755144546354,0.40255413103536902,-0.013221383419266375
morgan_r2_2048,1,svr,xgb,0.40189501424392271,0.40789201154617483,0.0059969973022521161
morgan_r2_2048,2,svr,xgb,0.40507126074045779,0.42865994658880552,0.023588685848347724
morgan_r2_2048,3,svr,xgb,0.41445533288149661,0.49524897907818799,0.080793646196691382
morgan_r2_2048,4,svr,xgb,0.40824590223925039,0.38067227096550921,-0.027573631273741184
morgan_r2_2048,5,svr,xgb,0.4157755144546354,0.41852008333089641,0.002744568876261011
morgan_r2_2048,1,rf,et,0.42301222312134151,0.40765051493188992,-0.015361708189451595
morgan_r2_2048,2,rf,et,0.41133218583597431,0.3938766443052879,-0.017455541530686403
morgan_r2_2048,3,rf,et,0.47827970563990152,0.44203683735199162,-0.036242868287909902
morgan_r2_2048,4,rf,et,0.42725127903543891,0.41086492084970022,-0.016386358185738692
morgan_r2_2048,5,rf,et,0.40220638346788662,0.40255413103536902,0.00034774756748240376
morgan_r2_2048,1,rf,xgb,0.42301222312134151,0.40789201154617483,-0.015120211575166687
morgan_r2_2048,2,rf,xgb,0.41133218583597431,0.42865994658880552,0.017327760752831212
morgan_r2_2048,3,rf,xgb,0.47827970563990152,0.49524897907818799,0.01696927343828647
morgan_r2_2048,4,rf,xgb,0.42725127903543891,0.38067227096550921,-0.046579008069929706
morgan_r2_2048,5,rf,xgb,0.40220638346788662,0.41852008333089641,0.01631369986300979
morgan_r2_2048,1,et,xgb,0.40765051493188992,0.40789201154617483,0.00024149661428490843
morgan_r2_2048,2,et,xgb,0.3938766443052879,0.42865994658880552,0.034783302283517614
morgan_r2_2048,3,et,xgb,0.44203683735199162,0.49524897907818799,0.053212141726196371
morgan_r2_2048,4,et,xgb,0.41086492084970022,0.38067227096550921,-0.030192649884191014
morgan_r2_2048,5,et,xgb,0.40255413103536902,0.41852008333089641,0.015965952295527386
