experiment_id,representation,algorithm,benchmark_protocol,split_seed,model_seed,run_name,MAE,RMSE,R2,Pearson_r,Spearman_rho
B22_RDKIT2D_RF,rdkit2d,rf,tdc_compatible_5split,5,,split_seed_5,0.30206309895176731,0.36713708853360638,0.71388829077250637,0.84685411238954256,0.82222022433810882
B23_RDKIT2D_ET,rdkit2d,et,tdc_compatible_5split,1,,split_seed_1,0.30369693732081809,0.37425721507354492,0.70268318218383152,0.83912698375381334,0.81768758258298824
B23_RDKIT2D_ET,rdkit2d,et,tdc_compatible_5split,2,,split_seed_2,0.30056224820726496,0.37260608072612084,0.70530077832245341,0.84011805033362008,0.82281806736405139
B23_RDKIT2D_ET,rdkit2d,et,tdc_compatible_5split,3,,split_seed_3,0.29665366145054972,0.36977491218497183,0.70976218364255417,0.8429915609658436,0.81605160352253436
B23_RDKIT2D_ET,rdkit2d,et,tdc_compatible_5split,4,,split_seed_4,0.3034164770103786,0.37698406203585183,0.69833488398175292,0.83769622484114714,0.81852606676674722
B23_RDKIT2D_ET,rdkit2d,et,tdc_compatible_5split,5,,split_seed_5,0.28424099907173367,0.35291824778901476,0.73562076513752239,0.85853242018113662,0.8398666474534886
B24_RDKIT2D_XGB,rdkit2d,xgb,tdc_compatible_5split,1,,split_seed_1,0.31075698522315393,0.38241918379872292,0.68957373955301704,0.83254545697158255,0.81168212988722377
B24_RDKIT2D_XGB,rdkit2d,xgb,tdc_compatible_5split,2,,split_seed_2,0.27317944668280641,0.342421324458621,0.75111385657183283,0.86672373140814474,0.85072629153353374
B24_RDKIT2D_XGB,rdkit2d,xgb,tdc_compatible_5split,3,,split_seed_3,0.30653228796269349,0.36814374951810358,0.7123171481963978,0.84637092084342835,0.82770751842933565
B24_RDKIT2D_XGB,rdkit2d,xgb,tdc_compatible_5split,4,,split_seed_4,0.29566782964370231,0.36832744054428496,0.71202998894305125,0.84640791316792197,0.83074839448220705
B24_RDKIT2D_XGB,rdkit2d,xgb,tdc_compatible_5split,5,,split_seed_5,0.30425841812321597,0.37637097468887803,0.69931527914965175,0.83669365046725941,0.83331469446912232
B30_MORGAN_SVR,morgan_r2_2048,svr,tdc_compatible_5split,1,,split_seed_1,0.40189501424392277,0.47109052092197229,0.52892740019012363,0.73218355630572263,0.64503527763438429
B30_MORGAN_SVR,morgan_r2_2048,svr,tdc_compatible_5split,2,,split_seed_2,0.40507126074045785,0.48745740502267881,0.49562627164641071,0.71841491534259239,0.59799678839412496
B30_MORGAN_SVR,morgan_r2_2048,svr,tdc_compatible_5split,3,,split_seed_3,0.41445533288149661,0.49468262925440665,0.48056353591257261,0.71477245142786205,0.64406239782680152
B30_MORGAN_SVR,morgan_r2_2048,svr,tdc_compatible_5split,4,,split_seed_4,0.40824590223925045,0.48594652156541124,0.49874805796262067,0.71996235503532224,0.64862345792983778
